"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2015-11-11",56.130001,56.169998,55.509998,55.799999,10808500,54.950648,218
"2015-11-12",55.52,55.75,55.169998,55.169998,17552200,54.330236,219
"2015-11-13",55.02,55.360001,54.330002,54.57,16550200,53.73937,220
"2015-11-16",54.48,55.27,54.400002,55.27,11955400,54.428716,221
"2015-11-17",55.330002,55.490002,54.84,54.959999,11331900,54.123433,222
"2015-11-18",55.060001,55.77,54.970001,55.669998,16612600,54.822625,223
"2015-11-19",55.77,56.07,55.459999,55.970001,12167600,55.118062,224
"2015-11-20",56.259998,56.259998,55.720001,55.82,16264100,54.970344,225
"2015-11-23",55.900002,56.040001,55.560001,55.599998,9638100,54.753691,226
"2015-11-24",55.139999,55.48,54.889999,55.279999,14156500,54.438562,227
"2015-11-25",55.459999,55.52,55.099998,55.220001,10034400,54.379478,228
"2015-11-27",55.34,55.470001,54.98,55.389999,4914000,54.546888,229
"2015-11-30",55.459999,55.689999,55.099998,55.099998,15998900,54.261302,230
"2015-12-01",55.509998,55.77,55.27,55.709999,15543400,54.862017,231
"2015-12-02",55.799999,55.799999,55,55.080002,12779900,54.241609,232
"2015-12-03",55.130001,55.220001,54.029999,54.200001,15410100,53.375003,233
"2015-12-04",54.48,55.880001,54.310001,55.669998,19647700,54.822625,234
"2015-12-07",55.450001,55.560001,55.02,55.419998,17991600,54.576431,235
"2015-12-08",54.98,55.209999,54.279999,54.400002,19949500,53.57196,236
"2015-12-09",54.119999,54.939999,53.709999,54.119999,18499600,53.296219,237
"2015-12-10",54.25,54.990002,53.880001,54.34,14075300,53.512872,238
"2015-12-11",53.450001,53.939999,52.990002,53.310001,17815700,52.498551,239
"2015-12-14",53.32,53.57,52.75,53.200001,22055100,52.390225,240
"2015-12-15",53.830002,55.119999,53.810001,54.91,18917600,54.074195,241
"2015-12-16",55.209999,56.040001,54.82,55.849998,21086800,54.999886,242
"2015-12-17",56.110001,56.240002,55.470001,55.470001,18800500,54.625673,243
"2015-12-18",55,55.150002,53.790001,53.790001,31468600,52.971244,244
"2015-12-21",54.299999,54.540001,53.549999,54.02,12993400,53.197743,245
"2015-12-22",54.360001,54.5,53.700001,54.34,10318100,53.512872,246
"2015-12-23",54.599998,55.060001,54.459999,55.040001,13033600,54.202217,247
"2015-12-24",54.970001,55.09,54.709999,54.82,4999400,53.985565,248
"2015-12-28",54.549999,54.779999,54.169998,54.68,8288800,53.847696,249
"2015-12-29",55.110001,55.349998,54.990002,55.290001,7894900,54.448412,250
"2015-12-30",55.27,55.310001,54.790001,54.889999,8016900,54.054499,251
"2015-12-31",54.509998,54.950001,54.220001,54.360001,10929800,53.532568,252
"2016-01-04",53.09,53.27,52.299999,52.91,25985400,52.104638,253
"2016-01-05",52.93,53.27,52.549999,52.889999,14759600,52.084942,254
"2016-01-06",52.119999,52.619999,51.830002,51.880001,20026400,51.090317,255
"2016-01-07",51.009998,51.189999,50.150002,50.400002,30425600,49.632845,256
"2016-01-08",50.799999,50.860001,49.459999,49.560001,22981400,48.805631,257
"2016-01-11",50.18,50.330002,49.639999,50.09,19046400,49.327562,258
"2016-01-12",50.880001,51.52,50.450001,51.360001,28961500,50.578232,259
"2016-01-13",51.73,51.799999,49.5,49.73,22013500,48.973041,260
"2016-01-14",50.080002,51,49.599998,50.639999,24569800,49.86919,261
"2016-01-15",48.59,49.639999,48.130001,48.82,41090400,48.076893,262
"2016-01-19",49.25,49.540001,47.990002,48.209999,29918500,47.476177,263
"2016-01-20",47.279999,48.25,46.880001,47.869999,40241100,47.141353,264
"2016-01-21",48.029999,49.049999,47.91,48.009998,24272900,47.279221,265
"2016-01-22",49.029999,49.27,48.560001,49.02,18298700,48.27385,266
"2016-01-25",48.91,48.98,47.619999,47.66,23440800,46.93455,267
"2016-01-26",47.75,48.560001,47.66,48.259998,18895100,47.525416,268
"2016-01-27",48.299999,49.299999,48.130001,48.57,20441500,47.830698,269
"2016-01-28",49.099998,49.400002,48.599998,48.919998,21306600,48.175369,270
"2016-01-29",49.290001,50.25,49.169998,50.23,25358300,49.465431,271
"2016-02-01",50.119999,50.18,49.560001,49.939999,17385400,49.179844,272
"2016-02-02",49.259998,49.32,48.779999,48.830002,25593200,48.086743,273
